date,theme,event_type,confidence,mention_number,total_theme_mentions,source,summary,basket,basket_direction,basket_note,high_profile_venue,ret_1m,ret_1q,ret_1y,ret_2y,smh_1m,smh_1q,smh_1y,smh_2y,excess_1m,excess_1q,excess_1y,excess_2y
2024-01-15,Humanoid robotics / Tesla Optimus,HC_HIGH_PROFILE_VENUE,high_conviction,1,4,iConnections Global Alts 2024 — Markets panel,Humanoid robots will decisively win over specialized robots; Tesla vs. Chinese competitors is the key battle,TSLA,LONG,"Tesla Optimus is the only US-listed humanoid robotics play at scale. Agility, Fi",True,,,,,,,,,,,,
2024-01-15,Optical networking / interconnect,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,8,iConnections Global Alts 2024 — Markets panel,Anthropic is ~4x more capital efficient than OpenAI and growing fast with low cash burn,"CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,True,,,,,,,,,,,,
2024-01-15,Optical networking / interconnect,HC_HIGH_PROFILE_VENUE,high_conviction,2,8,iConnections Global Alts 2024 — Markets panel,Anthropic is ~4x more capital efficient than OpenAI and growing fast with low cash burn,"CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,True,,,,,,,,,,,,
2024-01-15,Optical networking / interconnect,HC_HIGH_PROFILE_VENUE,high_conviction,2,8,iConnections Global Alts 2024 — Markets panel,Token efficiency is the key competitive axis for AI models — Anthropic leads on this metric,"CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,True,,,,,,,,,,,,
2024-01-15,Orbital / space-based compute,FIRST_MENTION,moderate,1,8,iConnections Global Alts 2024 — Markets panel,Space-based compute (racks in space connected by laser) is a viable and strategically important architecture,NO_BASKET,LONG,NO PUBLIC BASKET. SpaceX is private. No pure-play orbital compute equity.,True,,,,,,,,,,,,
2024-01-15,SaaS existential disruption,HC_HIGH_PROFILE_VENUE,high_conviction,2,2,iConnections Global Alts 2024 — Markets panel,SaaS/software companies face existential risk from AI-enabled vibe coding and autonomous software development,"CRM, NOW, HUBS, TEAM, SNOW",SHORT,"BEARISH thesis. These are the names at risk, not beneficiaries.",True,,,,,,,,,,,,
2024-02-14,China AI distillation / export controls,FIRST_MENTION_AND_HC,high_conviction,1,6,"Invested by Aleph — Semiconductors, AI, global warming, geop",US semiconductor export controls on China are working and have extended the Western lead to potentially multi-decade,"NVDA, LRCX, AMAT, KLAC",MIXED,"Export controls affect semcap equipment (LRCX, AMAT, KLAC) and NVDA China revenu",False,,,,,,,,,,,,
2024-02-14,Edge AI as bear case for cloud,FIRST_MENTION,moderate,1,2,"Invested by Aleph — Semiconductors, AI, global warming, geop",Edge AI / on-device AI is a meaningful risk to the centralized data center boom,"AAPL, QCOM",MIXED,"BEARISH for cloud (AMZN, MSFT, GOOGL). Potential beneficiaries: device-side chip",False,,,,,,,,,,,,
2024-02-14,Reasoning / inference-time compute,FIRST_MENTION_AND_HC,high_conviction,1,5,"Invested by Aleph — Semiconductors, AI, global warming, geop",Scaled foundation model companies are dramatically better investments post-reasoning models due to emergence of data flywheel,NVDA,LONG,Inference scaling = more GPU demand. NVDA is primary beneficiary.,False,,,,,,,,,,,,
2024-06-15,AI networking (Ethernet/InfiniBand),FIRST_MENTION_AND_HC,high_conviction,1,2,All-In Podcast — Secondary markets,Arista Networks and Drivetrain (Driveats/Drivets) are high-conviction positions in the AI networking infrastructure supercycle thesis — rein,"ANET, MRVL",LONG,ANET = AI datacenter Ethernet switching. MRVL = custom networking/interconnect A,False,,,,,,,,,,,,
2024-06-15,Google TPU competitive position,FIRST_MENTION,moderate,1,4,"All-In Podcast — DRAM bottleneck, AI infrastructure, Chinese","Chinese AI models (GLM 5.2) have achieved near-frontier capability through distillation of US model outputs, challenging the assumption of a",GOOGL,LONG,Thesis is about Google TPU specifically. Direction shifts over time (bull then b,False,,,,,,,,,,,,
2024-07-01,Humanoid robotics / Tesla Optimus,THIRD_MENTION_WITHIN_1YR,moderate,3,4,"Thematic Investors — Blending sci-fi, history and literature",Humanoid robots will revolutionize blue-collar work once LLM reasoning capabilities are embedded,TSLA,LONG,"Tesla Optimus is the only US-listed humanoid robotics play at scale. Agility, Fi",False,,,,,,,,,,,,
2024-07-01,Power / watts as binding constraint,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,6,"Thematic Investors — Blending sci-fi, history and literature",Power availability is the binding constraint on AI data center scaling; only three viable gigawatt-scale sites exist in the US,"VST, CEG, NRG, ETR, TLN",LONG,US power/utility names Baker specifically tied to datacenter power demand,False,,,,,,,,,,,,
2024-12-07,AI capex ROI positive,FIRST_MENTION_AND_HC,high_conviction,1,4,"All-In Podcast — Trump transition, SEC/crypto regulation, xA",Hyperscaler ROI on AI capex has been strongly positive to date (ROIC went vertical post-GPU ramp) but the sustainability at $100B+ training ,"NVDA, AVGO, ANET",LONG,"If capex ROI is positive, hyperscalers keep spending = bullish for GPU/networkin",False,,,,,,,,,,,,
2024-12-07,AI capex ROI positive,FIRST_MENTION,high_conviction,1,4,"All-In Podcast — Trump transition, SEC/crypto regulation, xA","AI is already delivering measurable ROI for startups — companies at a given size are employing 50% fewer people than 3 years ago, replacing ","NVDA, AVGO, ANET",LONG,"If capex ROI is positive, hyperscalers keep spending = bullish for GPU/networkin",False,,,,,,,,,,,,
2024-12-07,China AI distillation / export controls,THIRD_MENTION_WITHIN_1YR,moderate,3,6,"All-In Podcast — Trump transition, SEC/crypto regulation, xA",US chip export restrictions on China are functioning as a 'sophon' (Three Body Problem reference) — a meaningful handicap — but necessity-dr,"NVDA, LRCX, AMAT, KLAC",MIXED,"Export controls affect semcap equipment (LRCX, AMAT, KLAC) and NVDA China revenu",False,,,,,,,,,,,,
2025-01-04,Reasoning / inference-time compute,THIRD_MENTION_WITHIN_1YR,high_conviction,3,5,All-In Podcast — 2025 predictions (bestie guest Gavin Baker),Inference compute and test-time compute will cause a second GPU/accelerator shortage in 2025 analogous to 2023,NVDA,LONG,Inference scaling = more GPU demand. NVDA is primary beneficiary.,False,,,,,,,,,,,,
2025-10-30,Custom ASIC failure thesis,FIRST_MENTION_AND_HC,high_conviction,1,3,a16z Podcast — Is there an AI bubble?,Most custom ASIC programs will fail within 3 years; Google TPU external sales could be the catalyst,NVDA,LONG,Thesis = NVDA wins because ASICs fail. NVDA is the beneficiary.,False,,,,,,,,,,,,
2025-10-30,Google TPU competitive position,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,4,a16z Podcast — Is there an AI bubble?,Nvidia's roundtripping investments in AI labs are strategically rational competitive responses to Google's TPU ecosystem,GOOGL,LONG,Thesis is about Google TPU specifically. Direction shifts over time (bull then b,False,,,,,,,,,,,,
2025-11-15,Inference economics / token factories,FIRST_MENTION_AND_HC,high_conviction,1,2,"TBPN — Token factories, sovereign AI",Being a 'token factory' is sufficient as a business model for the next 5-10 years; the world needs more token factories,CRWV,LONG,CRWV after IPO. SpaceX compute business is private.,False,,,,,,,,,,,,
2025-11-15,Orbital / space-based compute,FIRST_HC_NOT_FIRST_MENTION,high_conviction,3,8,"TBPN — Token factories, sovereign AI","SpaceX near-term value is driven by terrestrial compute gigawatt ramp and Grok/cursor adoption, not long-duration space optionality",NO_BASKET,LONG,NO PUBLIC BASKET. SpaceX is private. No pure-play orbital compute equity.,False,,,,,,,,,,,,
2025-11-15,Sovereign AI,FIRST_MENTION_AND_HC,high_conviction,1,1,"TBPN — Token factories, sovereign AI","Sovereign AI for most countries will be fine-tuned open-source models run in local data centers, not frontier model development; China will ",NO_BASKET,LONG,NO CLEAR BASKET. Benefits local DC operators in non-US countries. No obvious US ,False,,,,,,,,,,,,
2025-12-09,TSMC capacity discipline,FIRST_MENTION,moderate,1,3,"Invest Like the Best (YouTube) — GPUs, TPUs, economics of AI","TSMC is being too conservative in capacity expansion, acting as a governor on the AI buildout but potentially making a strategic mistake",TSM,LONG,TSM ADR. Thesis is about TSMC specifically.,False,,,,,,,,,,,,
2025-12-09,Trainium / Amazon custom silicon,FIRST_MENTION,moderate,1,3,"Invest Like the Best (YouTube) — GPUs, TPUs, economics of AI","Anthropic is burning dramatically less cash than OpenAI while growing faster, benefiting from Google/Amazon TPU and Trainium access",AMZN,LONG,Trainium is internal to Amazon. AMZN is the only way to play it.,False,,,,,,,,,,,,
2025-12-09,Trainium / Amazon custom silicon,FIRST_MENTION_AND_HC,high_conviction,1,3,"Invest Like the Best (YouTube) — GPUs, TPUs, economics of AI",Most ASICs other than Trainium and TPU will fail; only those with multi-generation experience will be competitive,AMZN,LONG,Trainium is internal to Amazon. AMZN is the only way to play it.,False,,,,,,,,,,,,
2026-05-12,Neoclouds as durable model,FIRST_MENTION_AND_HC,high_conviction,1,1,Sohn NY 2026 — Tech investing fireside,"Neo/specialist clouds (CoreWeave, Crusoe, Nebius, Lambda) represent a durable business model, not a transitional arbitrage",CRWV,LONG,"CRWV only after IPO. Crusoe, Lambda, Nebius are private.",True,,,,,,,,,,,,
2026-05-12,Neoclouds as durable model,HC_HIGH_PROFILE_VENUE,high_conviction,1,1,Sohn NY 2026 — Tech investing fireside,"Neo/specialist clouds (CoreWeave, Crusoe, Nebius, Lambda) represent a durable business model, not a transitional arbitrage",CRWV,LONG,"CRWV only after IPO. Crusoe, Lambda, Nebius are private.",True,,,,,,,,,,,,
2026-05-12,TSMC capacity discipline,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,3,Sohn NY 2026 — Tech investing fireside,TSMC's deliberate capacity restraint will prevent an AI bubble and sustain a prolonged upcycle in leading-edge wafer supply,TSM,LONG,TSM ADR. Thesis is about TSMC specifically.,True,,,,,,,,,,,,
2026-05-12,TSMC capacity discipline,HC_HIGH_PROFILE_VENUE,high_conviction,2,3,Sohn NY 2026 — Tech investing fireside,TSMC's deliberate capacity restraint will prevent an AI bubble and sustain a prolonged upcycle in leading-edge wafer supply,TSM,LONG,TSM ADR. Thesis is about TSMC specifically.,True,,,,,,,,,,,,
2026-05-12,Trainium / Amazon custom silicon,HC_HIGH_PROFILE_VENUE,high_conviction,2,3,Sohn NY 2026 — Tech investing fireside,"Trainium is the most underestimated Nvidia alternative in 2026, analogous to what TPUs were in 2025",AMZN,LONG,Trainium is internal to Amazon. AMZN is the only way to play it.,True,,,,,,,,,,,,
2026-05-20,ALAB / copper vs fiber,FIRST_MENTION_AND_HC,high_conviction,1,1,Invest Like the Best (YouTube) — Watts and wafers,"Astera Labs is a high-conviction long that has been miscategorized as a 'copper loser' in market baskets, when it is structurally a benefici",ALAB,LONG,Thesis is about Astera Labs specifically.,False,,,,,,,,,,,,
2026-05-20,TSMC capacity discipline,THIRD_MENTION_WITHIN_1YR,high_conviction,3,3,Invest Like the Best (YouTube) — Watts and wafers,TSMC's capacity discipline is the single most important variable in preventing an AI infrastructure bubble,TSM,LONG,TSM ADR. Thesis is about TSMC specifically.,False,,,,,,,,,,,,
2026-05-20,Trainium / Amazon custom silicon,THIRD_MENTION_WITHIN_1YR,moderate,3,3,Invest Like the Best (YouTube) — Watts and wafers,"Amazon is in a strong position due to Trainium, real P&L efficiencies from robotics in retail over the next 18 months, and underappreciated ",AMZN,LONG,Trainium is internal to Amazon. AMZN is the only way to play it.,False,,,,,,,,,,,,
2026-06-11,Custom ASIC failure thesis,THIRD_MENTION_WITHIN_1YR,high_conviction,3,3,"BG2 Pod — SpaceX IPO, AI capex, Cursor","Nvidia is maintaining and potentially gaining GPU market share despite ASIC competition, contrary to consensus expectations",NVDA,LONG,Thesis = NVDA wins because ASICs fail. NVDA is the beneficiary.,False,,,,,,,,,,,,
