date,theme,event_type,confidence,mention_number,total_theme_mentions,source,summary,tickers_named,resolved_basket,basket_source,basket_direction,basket_asterisk,ret_1m,ret_1q,ret_1y,ret_2y,smh_1m,smh_1q,smh_1y,smh_2y,excess_1m,excess_1q,excess_1y,excess_2y
2020-07-27,DRAM / HBM memory bottleneck,FIRST_SMID_TICKER,high_conviction,1,11,Koyfin Investing Wizards — AI tailwind for semiconductors,"AI has dramatically higher semiconductor intensity than human-written software, driving a multi-decade structural demand uplift for the entire semiconductor industry","NVDA, INTC, AMD, XLNX, MU, ASML, LRCX, TSM",MU,OBVIOUS_UNIVERSE,LONG,False,-12.58,2.44,43.86,20.66,5.12,10.92,53.26,41.8,-17.7,-8.47,-9.39,-21.14
2020-07-27,Intel recovery / foundry failure,FIRST_MENTION_AND_HC,high_conviction,1,2,Koyfin Investing Wizards — AI tailwind for semiconductors,Intel faces a structural competitive crisis having lost its 50-year manufacturing lead due to the EUV bet and process execution failures; recovery depends on 10nm server CPU execution in late 2020,"INTC, AMD, TSM, ASML",INTC,BAKER_NAMED,LONG,False,0.39,-2.1,10.13,-14.36,5.12,10.92,53.26,41.8,-4.72,-13.02,-43.13,-56.16
2020-07-27,Intel recovery / foundry failure,FIRST_MENTION_WITH_TICKERS,high_conviction,1,2,Koyfin Investing Wizards — AI tailwind for semiconductors,Intel faces a structural competitive crisis having lost its 50-year manufacturing lead due to the EUV bet and process execution failures; recovery depends on 10nm server CPU execution in late 2020,"INTC, AMD, TSM, ASML",INTC,BAKER_NAMED,LONG,False,0.39,-2.1,10.13,-14.36,5.12,10.92,53.26,41.8,-4.72,-13.02,-43.13,-56.16
2020-07-27,Intel recovery / foundry failure,THESIS_REVERSAL,high_conviction,1,2,Koyfin Investing Wizards — AI tailwind for semiconductors,Intel faces a structural competitive crisis having lost its 50-year manufacturing lead due to the EUV bet and process execution failures; recovery depends on 10nm server CPU execution in late 2020,"INTC, AMD, TSM, ASML",INTC,BAKER_NAMED,LONG,False,0.39,-2.1,10.13,-14.36,5.12,10.92,53.26,41.8,-4.72,-13.02,-43.13,-56.16
2020-07-27,Nvidia GPU moat / CUDA ecosystem,FIRST_MENTION_AND_HC,high_conviction,1,5,Koyfin Investing Wizards — AI tailwind for semiconductors,"Nvidia holds a durable leadership position in AI training GPUs, protected by CUDA software ecosystem and the historical pattern of digital processor market incumbents never being unseated","NVDA, INTC, AMD",NVDA,BAKER_NAMED,LONG,False,22.34,30.45,84.53,71.02,5.12,10.92,53.26,41.8,17.23,19.53,31.27,29.22
2020-07-27,Nvidia GPU moat / CUDA ecosystem,FIRST_MENTION_WITH_TICKERS,high_conviction,1,5,Koyfin Investing Wizards — AI tailwind for semiconductors,"Nvidia holds a durable leadership position in AI training GPUs, protected by CUDA software ecosystem and the historical pattern of digital processor market incumbents never being unseated","NVDA, INTC, AMD",NVDA,BAKER_NAMED,LONG,False,22.34,30.45,84.53,71.02,5.12,10.92,53.26,41.8,17.23,19.53,31.27,29.22
2020-11-15,Target / omnichannel retail,FIRST_MENTION_AND_HC,high_conviction,1,2,Sohn Australia 2020 — Omnichannel / tech,Target is among the fastest-growing e-commerce companies in North America and is materially undervalued by consensus,TGT,TGT,BAKER_NAMED,LONG,False,4.37,16.77,64.16,-2.16,8.05,24.04,52.05,9.15,-3.68,-7.27,12.11,-11.31
2020-11-15,Target / omnichannel retail,FIRST_MENTION_WITH_TICKERS,high_conviction,1,2,Sohn Australia 2020 — Omnichannel / tech,Target is among the fastest-growing e-commerce companies in North America and is materially undervalued by consensus,TGT,TGT,BAKER_NAMED,LONG,False,4.37,16.77,64.16,-2.16,8.05,24.04,52.05,9.15,-3.68,-7.27,12.11,-11.31
2020-11-15,Target / omnichannel retail,FIRST_SMID_TICKER,high_conviction,1,2,Sohn Australia 2020 — Omnichannel / tech,Target is among the fastest-growing e-commerce companies in North America and is materially undervalued by consensus,TGT,TGT,BAKER_NAMED,LONG,False,4.37,16.77,64.16,-2.16,8.05,24.04,52.05,9.15,-3.68,-7.27,12.11,-11.31
2020-11-15,Target / omnichannel retail,HC_HIGH_PROFILE_VENUE,high_conviction,1,2,Sohn Australia 2020 — Omnichannel / tech,Target is among the fastest-growing e-commerce companies in North America and is materially undervalued by consensus,TGT,TGT,BAKER_NAMED,LONG,False,4.37,16.77,64.16,-2.16,8.05,24.04,52.05,9.15,-3.68,-7.27,12.11,-11.31
2021-11-01,DISH / 5G bearish,FIRST_MENTION_AND_HC,high_conviction,1,2,"Graham & Doddsville (Columbia Business School) — Investor interview with Gavin Baker, CIO of Atreides Management (Issue 43, Fall 2021)",5G is not a meaningful enabler of new use cases and represents a cost treadmill for incumbents,,DISH,BAKER_NAMED,LONG,False,-27.85,-25.06,-64.43,-87.67,9.77,0.46,-30.79,7.34,-37.62,-25.52,-33.64,-95.01
2021-11-01,DISH / 5G bearish,FIRST_MENTION_WITH_TICKERS,high_conviction,1,2,"Graham & Doddsville (Columbia Business School) — Investor interview with Gavin Baker, CIO of Atreides Management (Issue 43, Fall 2021)",Dish Network is an interesting investment due to structural telecom pricing dynamics favoring new entrants,DISH,DISH,BAKER_NAMED,LONG,False,-27.85,-25.06,-64.43,-87.67,9.77,0.46,-30.79,7.34,-37.62,-25.52,-33.64,-95.01
2021-11-01,DISH / 5G bearish,FIRST_SMID_TICKER,high_conviction,1,2,"Graham & Doddsville (Columbia Business School) — Investor interview with Gavin Baker, CIO of Atreides Management (Issue 43, Fall 2021)",Dish Network is an interesting investment due to structural telecom pricing dynamics favoring new entrants,DISH,DISH,BAKER_NAMED,LONG,False,-27.85,-25.06,-64.43,-87.67,9.77,0.46,-30.79,7.34,-37.62,-25.52,-33.64,-95.01
2021-11-01,SpaceX ecosystem / Starship economics,FIRST_MENTION,moderate,1,9,"Graham & Doddsville (Columbia Business School) — Investor interview with Gavin Baker, CIO of Atreides Management (Issue 43, Fall 2021)",Starlink is a significant disruptor to leveraged telecom and broadband companies globally,,"RKLB, SPCE, RDW",RETAIL_PROXY,LONG,True,-17.9,-46.8,-72.63,-79.03,9.77,0.46,-30.79,7.34,-27.67,-47.27,-41.84,-86.38
2021-11-30,AI bubble not happening,FIRST_MENTION_AND_HC,high_conviction,1,5,"VS Partners / Financial Times Global Seattle Symposium — Global technology investment: hype, hope, reality",SaaS companies have fundamentally better business models than dot-com era companies — current valuations are not bubble-like,,SMH,OBVIOUS_UNIVERSE,LONG,False,2.16,-11.57,-24.91,7.47,2.16,-11.57,-24.91,7.47,0.0,0.0,0.0,0.0
2021-11-30,ASML / semcap equipment criticality,FIRST_SMID_TICKER,high_conviction,2,2,"VS Partners / Financial Times Global Seattle Symposium — Global technology investment: hype, hope, reality",Leading-edge semiconductor manufacturing is a critical geopolitical chokepoint — only 5 countries can do it,"ASML, LRCX, KLAC, AMAT",ASML,BAKER_NAMED,LONG,False,1.1,-17.2,-22.22,-10.59,2.16,-11.57,-24.91,7.47,-1.06,-5.63,2.69,-18.06
2021-11-30,Crossover investing philosophy,FIRST_MENTION_AND_HC,high_conviction,1,3,"VS Partners / Financial Times Global Seattle Symposium — Global technology investment: hype, hope, reality",Crossover investing (public + private) is the future of tech investing — will grow from 3-4% to 50%+ of private unicorn market cap,,,NO_BASKET,LONG,False,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,2.16,-11.57,-24.91,7.47,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2021-11-30,Private market structural shift,FIRST_MENTION_AND_HC,high_conviction,1,2,"VS Partners / Financial Times Global Seattle Symposium — Global technology investment: hype, hope, reality",Crossover investing (public + private) is the future of tech investing — will grow from 3-4% to 50%+ of private unicorn market cap,,,NO_BASKET,LONG,False,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,2.16,-11.57,-24.91,7.47,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2021-11-30,Scaling laws intact,FIRST_MENTION_AND_HC,high_conviction,1,5,"VS Partners / Financial Times Global Seattle Symposium — Global technology investment: hype, hope, reality",AI-driven scaling laws will dramatically increase semiconductor intensity of the global economy,,SMH,OBVIOUS_UNIVERSE,LONG,False,2.16,-11.57,-24.91,7.47,2.16,-11.57,-24.91,7.47,0.0,0.0,0.0,0.0
2021-11-30,SpaceX ecosystem / Starship economics,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,9,"VS Partners / Financial Times Global Seattle Symposium — Global technology investment: hype, hope, reality",SpaceX / Starlink is the only investable space company — dramatically lower launch costs will reshape the world,,"RKLB, SPCE, RDW",RETAIL_PROXY,LONG,True,-20.95,-40.5,-72.62,-75.72,2.16,-11.57,-24.91,7.47,-23.11,-28.93,-47.71,-83.19
2021-11-30,Tesla / EV / FSD,FIRST_MENTION_AND_HC,high_conviction,1,2,"VS Partners / Financial Times Global Seattle Symposium — Global technology investment: hype, hope, reality","EV SPACs are worthless — no hope of competing against Tesla, Chinese EV leaders, or legacy OEM incumbents",,TSLA,BAKER_NAMED,LONG,False,-6.5,-23.14,-48.98,-37.41,2.16,-11.57,-24.91,7.47,-8.66,-11.57,-24.07,-44.88
2021-11-30,Tesla / EV / FSD,FIRST_MENTION_WITH_TICKERS,high_conviction,1,2,"VS Partners / Financial Times Global Seattle Symposium — Global technology investment: hype, hope, reality",Tesla is the dominant global EV incumbent — one of the best companies in the world led by possibly the best CEO,TSLA,TSLA,BAKER_NAMED,LONG,False,-6.5,-23.14,-48.98,-37.41,2.16,-11.57,-24.91,7.47,-8.66,-11.57,-24.07,-44.88
2022-03-25,Inflation macro framework,FIRST_MENTION_AND_HC,high_conviction,1,2,On The Tape / RiskReversal — Fear is the market killer,Supply chain-driven inflation is largely over; capitalism solves these problems quickly,,,NO_BASKET,MIXED,False,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,-16.97,-21.75,-8.2,66.29,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2023-06-19,Optical networking / interconnect,FIRST_MENTION,moderate,1,8,"This Week in Startups — AI platform shift, Nvidia outlook, extinction risk",Solar and battery storage compounding will solve climate change structurally; fossil fuels will phase out as photovoltaic efficiency compounds ~8%/year and battery efficiency ~6%/year.,,"CIEN, COHR, LITE",BAKER_NAMED,LONG,False,-10.66,-18.34,5.17,60.1,0.09,-4.46,77.01,79.53,-10.74,-13.88,-71.84,-19.43
2023-06-19,SaaS existential disruption,FIRST_MENTION_AND_HC,high_conviction,1,5,"This Week in Startups — AI platform shift, Nvidia outlook, extinction risk",Foundation Models as a Service (FMaaS) will replace Software as a Service (SaaS) — LLMs will consolidate the software stack the way the iPhone consolidated hardware devices.,,"CRM, NOW, TEAM, SNOW",CONSTRUCTED,SHORT,False,-1.74,-1.93,-0.78,-35.72,0.09,-4.46,77.01,79.53,-1.83,2.53,-77.79,-115.25
2024-01-15,AI bubble not happening,HC_HIGH_PROFILE_VENUE,high_conviction,3,5,iConnections Global Alts 2024 — Markets panel,"Power and wafer shortages will prevent an AI overbuild, enabling a smoother and longer AI investment cycle",,SMH,OBVIOUS_UNIVERSE,LONG,False,15.71,24.74,44.23,123.87,15.71,24.74,44.23,123.87,0.0,0.0,0.0,0.0
2024-01-15,Anthropic valuation / efficiency,FIRST_MENTION_AND_HC,high_conviction,1,4,iConnections Global Alts 2024 — Markets panel,Anthropic is ~4x more capital efficient than OpenAI and growing fast with low cash burn,,,NO_BASKET,LONG,False,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,15.71,24.74,44.23,123.87,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2024-01-15,Anthropic valuation / efficiency,HC_HIGH_PROFILE_VENUE,high_conviction,1,4,iConnections Global Alts 2024 — Markets panel,Anthropic is ~4x more capital efficient than OpenAI and growing fast with low cash burn,,,NO_BASKET,LONG,False,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,15.71,24.74,44.23,123.87,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2024-01-15,Humanoid robotics / Tesla Optimus,FIRST_MENTION_AND_HC,high_conviction,1,4,iConnections Global Alts 2024 — Markets panel,Humanoid robots will decisively win over specialized robots; Tesla vs. Chinese competitors is the key battle,TSLA,TSLA,BAKER_NAMED,LONG,False,-14.19,-28.56,88.18,90.65,15.71,24.74,44.23,123.87,-29.9,-53.29,43.95,-33.22
2024-01-15,Humanoid robotics / Tesla Optimus,FIRST_MENTION_WITH_TICKERS,high_conviction,1,4,iConnections Global Alts 2024 — Markets panel,Humanoid robots will decisively win over specialized robots; Tesla vs. Chinese competitors is the key battle,TSLA,TSLA,BAKER_NAMED,LONG,False,-14.19,-28.56,88.18,90.65,15.71,24.74,44.23,123.87,-29.9,-53.29,43.95,-33.22
2024-01-15,Humanoid robotics / Tesla Optimus,HC_HIGH_PROFILE_VENUE,high_conviction,1,4,iConnections Global Alts 2024 — Markets panel,Humanoid robots will decisively win over specialized robots; Tesla vs. Chinese competitors is the key battle,TSLA,TSLA,BAKER_NAMED,LONG,False,-14.19,-28.56,88.18,90.65,15.71,24.74,44.23,123.87,-29.9,-53.29,43.95,-33.22
2024-01-15,Optical networking / interconnect,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,8,iConnections Global Alts 2024 — Markets panel,Anthropic is ~4x more capital efficient than OpenAI and growing fast with low cash burn,,"CIEN, COHR, LITE",BAKER_NAMED,LONG,False,14.98,-3.75,82.57,427.67,15.71,24.74,44.23,123.87,-0.73,-28.48,38.35,303.8
2024-01-15,Optical networking / interconnect,FIRST_MENTION_WITH_TICKERS,moderate,2,8,iConnections Global Alts 2024 — Markets panel,"Tesla's Autopilot AI is the most token-efficient AI in the world, running superhuman tasks at near-human power consumption",TSLA,"CIEN, COHR, LITE",BAKER_NAMED,LONG,False,14.98,-3.75,82.57,427.67,15.71,24.74,44.23,123.87,-0.73,-28.48,38.35,303.8
2024-01-15,Optical networking / interconnect,HC_HIGH_PROFILE_VENUE,high_conviction,2,8,iConnections Global Alts 2024 — Markets panel,Anthropic is ~4x more capital efficient than OpenAI and growing fast with low cash burn,,"CIEN, COHR, LITE",BAKER_NAMED,LONG,False,14.98,-3.75,82.57,427.67,15.71,24.74,44.23,123.87,-0.73,-28.48,38.35,303.8
2024-01-15,Orbital / space-based compute,FIRST_MENTION,moderate,1,8,iConnections Global Alts 2024 — Markets panel,Space-based compute (racks in space connected by laser) is a viable and strategically important architecture,,"RKLB, LUNR, ASTS, RDW",RETAIL_PROXY,LONG,True,19.53,10.55,466.82,1332.24,15.71,24.74,44.23,123.87,3.82,-14.19,422.59,1208.37
2024-01-15,SaaS existential disruption,FIRST_MENTION_WITH_TICKERS,high_conviction,2,5,iConnections Global Alts 2024 — Markets panel,SaaS/software companies face existential risk from AI-enabled vibe coding and autonomous software development,HUBS,"CRM, NOW, TEAM, SNOW",CONSTRUCTED,SHORT,False,-7.88,8.38,-14.92,18.08,15.71,24.74,44.23,123.87,-23.59,-16.36,-59.15,-105.79
2024-01-15,SaaS existential disruption,FIRST_SMID_TICKER,high_conviction,2,5,iConnections Global Alts 2024 — Markets panel,SaaS/software companies face existential risk from AI-enabled vibe coding and autonomous software development,HUBS,"CRM, NOW, TEAM, SNOW",CONSTRUCTED,SHORT,False,-7.88,8.38,-14.92,18.08,15.71,24.74,44.23,123.87,-23.59,-16.36,-59.15,-105.79
2024-01-15,SaaS existential disruption,HC_HIGH_PROFILE_VENUE,high_conviction,2,5,iConnections Global Alts 2024 — Markets panel,SaaS/software companies face existential risk from AI-enabled vibe coding and autonomous software development,HUBS,"CRM, NOW, TEAM, SNOW",CONSTRUCTED,SHORT,False,-7.88,8.38,-14.92,18.08,15.71,24.74,44.23,123.87,-23.59,-16.36,-59.15,-105.79
2024-01-15,xAI competitive position,FIRST_MENTION,moderate,1,7,iConnections Global Alts 2024 — Markets panel,xAI has the lowest cost-per-token due to superior data center construction and GPU utilization,,,NO_BASKET,LONG,False,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,15.71,24.74,44.23,123.87,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2024-02-14,China AI distillation / export controls,FIRST_MENTION_AND_HC,high_conviction,1,6,"Invested by Aleph — Semiconductors, AI, global warming, geopolitics",US semiconductor export controls on China are working and have extended the Western lead to potentially multi-decade,NVDA,NVDA,OBVIOUS_UNIVERSE,MIXED,False,18.86,28.06,88.69,154.4,7.15,15.05,26.59,103.3,11.71,13.01,62.1,51.11
2024-02-14,China AI distillation / export controls,FIRST_MENTION_WITH_TICKERS,high_conviction,1,6,"Invested by Aleph — Semiconductors, AI, global warming, geopolitics",US semiconductor export controls on China are working and have extended the Western lead to potentially multi-decade,NVDA,NVDA,OBVIOUS_UNIVERSE,MIXED,False,18.86,28.06,88.69,154.4,7.15,15.05,26.59,103.3,11.71,13.01,62.1,51.11
2024-02-14,Edge AI as bear case for cloud,FIRST_MENTION,moderate,1,2,"Invested by Aleph — Semiconductors, AI, global warming, geopolitics",Edge AI / on-device AI is a meaningful risk to the centralized data center boom,,"AAPL, QCOM",CONSTRUCTED,MIXED,False,1.45,15.11,24.2,19.23,7.15,15.05,26.59,103.3,-5.7,0.06,-2.39,-84.06
2024-02-14,Reasoning / inference-time compute,FIRST_MENTION_AND_HC,high_conviction,1,5,"Invested by Aleph — Semiconductors, AI, global warming, geopolitics",Scaled foundation model companies are dramatically better investments post-reasoning models due to emergence of data flywheel,,"NVDA, AMD",OBVIOUS_UNIVERSE,LONG,False,12.89,8.7,26.32,84.1,7.15,15.05,26.59,103.3,5.74,-6.35,-0.27,-19.19
2024-02-14,SpaceX ecosystem / Starship economics,THESIS_REVERSAL,high_conviction,3,9,"Invested by Aleph — Semiconductors, AI, global warming, geopolitics","SpaceX is the highest risk-adjusted return (Sharpe ratio) asset available in any market, public or private",,"RKLB, LUNR, ASTS, RDW",RETAIL_PROXY,LONG,True,0.49,8.12,574.76,1112.2,7.15,15.05,26.59,103.3,-6.66,-6.93,548.18,1008.9
2024-02-14,xAI competitive position,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,7,"Invested by Aleph — Semiconductors, AI, global warming, geopolitics","XAI and Google have the most unique data among frontier labs, giving them structural training advantages",,,NO_BASKET,LONG,False,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,7.15,15.05,26.59,103.3,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2024-06-15,AI bubble not happening,THESIS_REVERSAL,high_conviction,4,5,All-In Podcast — Secondary markets,"Current technology valuations (public and private) are fully valued to stretched — not a bubble like 1999/2000, but more analogous to 2021, with risk of 10-20% public market correction translating to 30-40% drawdowns in high-beta names.",,SMH,OBVIOUS_UNIVERSE,LONG,False,-6.22,-14.22,-4.06,130.02,-6.22,-14.22,-4.06,130.02,0.0,0.0,0.0,0.0
2024-06-15,AI networking (Ethernet/InfiniBand),FIRST_MENTION_AND_HC,high_conviction,1,2,All-In Podcast — Secondary markets,Arista Networks and Drivetrain (Driveats/Drivets) are high-conviction positions in the AI networking infrastructure supercycle thesis — reinventing networking for disaggregated AI inference workloads.,ANET,ANET,BAKER_NAMED,LONG,False,-2.19,6.14,1.45,90.78,-6.22,-14.22,-4.06,130.02,4.03,20.36,5.5,-39.24
2024-06-15,AI networking (Ethernet/InfiniBand),FIRST_MENTION_WITH_TICKERS,high_conviction,1,2,All-In Podcast — Secondary markets,Arista Networks and Drivetrain (Driveats/Drivets) are high-conviction positions in the AI networking infrastructure supercycle thesis — reinventing networking for disaggregated AI inference workloads.,ANET,ANET,BAKER_NAMED,LONG,False,-2.19,6.14,1.45,90.78,-6.22,-14.22,-4.06,130.02,4.03,20.36,5.5,-39.24
2024-06-15,AI networking (Ethernet/InfiniBand),FIRST_SMID_TICKER,high_conviction,1,2,All-In Podcast — Secondary markets,Arista Networks and Drivetrain (Driveats/Drivets) are high-conviction positions in the AI networking infrastructure supercycle thesis — reinventing networking for disaggregated AI inference workloads.,ANET,ANET,BAKER_NAMED,LONG,False,-2.19,6.14,1.45,90.78,-6.22,-14.22,-4.06,130.02,4.03,20.36,5.5,-39.24
2024-06-15,Disaggregation prefill/decode,FIRST_MENTION_AND_HC,high_conviction,1,2,"All-In Podcast — DRAM bottleneck, AI infrastructure, Chinese open source models","Disaggregation of inference into prefill and decode phases will extend the useful life of older Nvidia GPUs (H100s, A100s) by 7-12 years",,NVDA,OBVIOUS_UNIVERSE,LONG,False,-7.55,-11.74,9.86,52.98,-6.22,-14.22,-4.06,130.02,-1.33,2.48,13.92,-77.04
2024-06-15,Disaggregation prefill/decode,FIRST_MENTION_WITH_TICKERS,high_conviction,1,2,All-In Podcast — Secondary markets,Arista Networks and Drivetrain (Driveats/Drivets) are high-conviction positions in the AI networking infrastructure supercycle thesis — reinventing networking for disaggregated AI inference workloads.,ANET,NVDA,OBVIOUS_UNIVERSE,LONG,False,-7.55,-11.74,9.86,52.98,-6.22,-14.22,-4.06,130.02,-1.33,2.48,13.92,-77.04
2024-06-15,Disaggregation prefill/decode,FIRST_SMID_TICKER,high_conviction,1,2,All-In Podcast — Secondary markets,Arista Networks and Drivetrain (Driveats/Drivets) are high-conviction positions in the AI networking infrastructure supercycle thesis — reinventing networking for disaggregated AI inference workloads.,ANET,NVDA,OBVIOUS_UNIVERSE,LONG,False,-7.55,-11.74,9.86,52.98,-6.22,-14.22,-4.06,130.02,-1.33,2.48,13.92,-77.04
2024-06-15,Google TPU competitive position,FIRST_MENTION,moderate,1,4,"All-In Podcast — DRAM bottleneck, AI infrastructure, Chinese open source models","Chinese AI models (GLM 5.2) have achieved near-frontier capability through distillation of US model outputs, challenging the assumption of a durable US lead",,GOOGL,BAKER_NAMED,LONG,False,0.25,-9.99,-5.53,96.79,-6.22,-14.22,-4.06,130.02,6.47,4.23,-1.47,-33.22
2024-06-15,SPAC structural analysis,FIRST_MENTION_AND_HC,high_conviction,1,1,All-In Podcast — Secondary markets,"Venture firms without material exposure to trillion-dollar-plus private companies (SpaceX, Anthropic, OpenAI) face serious franchise risk and are engaging in undisciplined 'call option' behavior to compensate.",,,NO_BASKET,MIXED,False,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,-6.22,-14.22,-4.06,130.02,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2024-06-15,SpaceX ecosystem / Starship economics,THESIS_REVERSAL,high_conviction,4,9,All-In Podcast — Secondary markets,"Venture firms without material exposure to trillion-dollar-plus private companies (SpaceX, Anthropic, OpenAI) face serious franchise risk and are engaging in undisciplined 'call option' behavior to compensate.",,"RKLB, LUNR, ASTS, RDW",RETAIL_PROXY,LONG,True,13.54,63.5,306.04,794.79,-6.22,-14.22,-4.06,130.02,19.76,77.72,310.1,664.77
