date,theme,mention_number,summary,summary_extended,tickers_direct,confidence,final_basket,final_source,final_direction,final_action,final_note,old_basket,old_source,old_direction,new_basket,new_source,new_direction,new_reasoning,assessment,assessment_note,changed,override_exists
11/30/21,Scaling laws intact,1,AI-driven scaling laws will dramatically increase semiconductor intensity of the global economy,"Baker argues that AI scaling laws will structurally increase the semiconductor intensity of the global economy, meaning semiconductors will represent a growing share of total economic activity and capital expenditure. His reasoning is grounded in the technical requirements of training large AI models, which demand three core inputs: compute, memory, and high-bandwidth networking/interconnect to move data between compute and memory — all of which are semiconductor-driven. As AI models continue to scale in size and complexity, Baker sees this as a durable, multi-year structural tailwind for the entire semiconductor ecosystem rather than a cyclical upturn. The investment implication is broad exposure to semiconductors across compute, memory, and networking subsectors, though Baker does not name specific companies in this segment of the thesis. He frames this as a direct logical consequence of his core AI scaling law conviction, summarized in his phrase that 'the semiconductor intensity of the world is going to go up a lot.'",,high_conviction,NO_BASKET,,,STEVE,Steve: no basket,SMH,OBVIOUS_UNIVERSE,LONG,"NVDA, AMD, AVGO, MU, MRVL, TSM, ASML, KLAC, LRCX, AMAT",OBVIOUS_UNIVERSE,LONG,"High-conviction bullish call on the entire semiconductor sector across compute (NVDA, AMD, TSM), memory (MU), networking/interconnect (AVGO, MRVL), and enabling equipment (ASML, KLAC, LRCX, AMAT) as structural beneficiaries of rising semiconductor intensity driven by AI scaling laws.",RESOLVED_NO_BASKET,Semis will be more important. Sector-level. Model invented 10 tickers.,YES,NO
5/12/26,TSMC capacity discipline,2,TSMC's deliberate capacity restraint will prevent an AI bubble and sustain a prolonged upcycle in leading-edge wafer supply,"Baker argues that TSMC is deliberately constraining leading-edge wafer capacity expansion far below the pace that Nvidia's Jensen Huang demands, and that this intentional restraint is the key structural difference between the current AI upcycle and prior technology bubbles. He characterizes TSMC's leadership as stewards of Morris Chang's legacy — 'flinty old men and women' — who expand capacity at roughly 5% when Huang visits every three months requesting doublings or triplings. Because physical wafer supply cannot be conjured quickly, Baker contends this bottleneck acts as a natural governor on speculative overinvestment, preventing the kind of bubble that unconstrained capital allocation would otherwise produce. The investment implication is that the AI infrastructure upcycle will be prolonged and structurally sound rather than bubble-prone, and that TSMC as the sole supplier of leading-edge capacity is the critical chokepoint — and thus a core long. Baker notes that Nvidia alone could sell $1–2 trillion of chips if TSMC capacity were available, underscoring the magnitude of suppressed demand flowing through TSM's fabs.","TSM, NVDA",high_conviction,NO_BASKET,,,STEVE,Steve: no basket,"NVDA, AVGO, MU",OBVIOUS_UNIVERSE,LONG,TSM,BAKER_NAMED,LONG,"Baker explicitly identifies TSMC as a core long position, arguing its deliberate capacity restraint makes it the critical chokepoint beneficiary of a prolonged AI upcycle.",REVIEW_STEVE,"He is saying TSMC capacity restraint sustains the upcycle. Model says bullish TSM. The old basket was NVDA/AVGO/MU (beneficiaries of tight supply). Two valid reads: TSM itself, or the beneficiaries of its discipline. The beneficiary framing matches our v2 discussion.",YES,NO
5/28/26,TSMC capacity discipline,4,TSMC supply constraint is the primary governor preventing the AI buildout from becoming a debt-fueled bubble,"Baker argues that TSMC's manufacturing capacity is the single binding constraint preventing the AI infrastructure buildout from becoming an unsustainable, debt-fueled bubble. He contends that Nvidia could sell $2–3 trillion worth of GPUs annually if TSMC could supply the necessary silicon, meaning demand is effectively uncapped but supply is rationed by TSMC's inability to scale rapidly. This supply constraint imposes a natural, sustainable pace on AI capital expenditure, which Baker views as a structural safeguard rather than a problem. ASML's monopoly on EUV lithography machines — with a five-year backlog, ~$400M per unit, and a single production team — further entrenches TSMC's bottleneck and makes any rapid capacity expansion by competitors essentially impossible in the near term. Baker dismisses Samsung as a credible near-term threat to TSMC's leading-edge dominance, reinforcing the view that this constraint is durable and investable.","TSM, ASML, NVDA",high_conviction,NO_BASKET,,,STEVE,Steve: no basket,"NVDA, AVGO, MU",OBVIOUS_UNIVERSE,LONG,"TSM, ASML",BAKER_NAMED,LONG,"Baker describes TSMC's supply constraint and ASML's monopoly as durable and investable structural advantages, with high conviction that these bottlenecks make both companies essential and unassailable.",REVIEW_STEVE,"Model says TSM, ASML bullish. He does name them as durable bottlenecks. Reasonable but inconsistent with the beneficiary framing on m2.",YES,NO
11/30/21,Tesla / EV / FSD,1,"EV SPACs are worthless — no hope of competing against Tesla, Chinese EV leaders, or legacy OEM incumbents","Baker argues that EV SPACs are fundamentally worthless businesses with no realistic path to competing in the electric vehicle market, dismissing them as 'silly companies' and 'not real companies.' His core reasoning is that the competitive landscape is already locked up by three dominant forces: Tesla in the US and globally, strong Chinese EV manufacturers, and legacy OEM incumbents who are rapidly electrifying their fleets. He emphasizes that manufacturing EVs at scale is extraordinarily difficult — designing a prototype is easy, but achieving production scale is a different problem entirely — meaning that capital infusions from SPAC deals cannot solve the underlying operational complexity. The investment implication is to avoid EV SPAC names entirely, as meme-stock reflexivity that might prop up other speculative names is insufficient to rescue companies facing insurmountable manufacturing and competitive barriers. Baker notes he has stated this view publicly many times, suggesting high conviction and a durable short or avoid thesis rather than a tactical call.",TSLA,high_conviction,PAIR_TRADE,,PAIR_TRADE,STEVE,Steve: short LCID/RIVN long TSLA,TSLA,BAKER_NAMED,LONG,"NKLA, RIDE, GOEV, FSR, LCID, ARVL, REE",OBVIOUS_UNIVERSE,SHORT,"Baker is clearly bearish on the EV SPAC sector as fundamentally worthless with no path to competing against Tesla, Chinese EVs, or legacy OEMs, and the public universe of EV SPACs is well-known.",REVIEW_STEVE,"EV SPACs are worthless. Model says short NKLA/RIDE/GOEV/FSR/LCID/ARVL/REE. He called them worthless but did he name them? And most are bankrupt now. Short basket on bankrupt names is not actionable. Probably NO_BASKET since the real point is ""TSLA wins"" which is in another row.",YES,NO
2/24/26,Uranium enrichment / national security,1,US uranium enrichment capacity is a critical national security gap; investing in domestic enrichment is a priority,"Gracias (not Baker) argues that the United States has a critical national security vulnerability in its nuclear fuel supply chain, specifically that America purchases all of its enriched uranium from Russia and has zero domestic enrichment capacity. He frames this gap as both a geopolitical risk and a reindustrialization investment opportunity, with his firm actively investing in a company that is building domestic US uranium enrichment capacity. The investment thesis is predicated on the inevitability of policy-driven demand for domestic enrichment as the US seeks to decouple from Russian nuclear fuel suppliers. No specific company name is disclosed in the transcript, making it difficult to identify a direct equity beneficiary, though the thesis implies a private or early-stage venture rather than a publicly traded company. The implication for public markets investors is to watch US-listed uranium enrichment and nuclear fuel companies as potential beneficiaries of this reindustrialization trend.",LEU,moderate,LEU,OBVIOUS_UNIVERSE,LONG,STEVE,Steve: long LEU,LEU,BAKER_NAMED,LONG,LEU,OBVIOUS_UNIVERSE,LONG,"The speaker is bullish on domestic US uranium enrichment capacity buildout, and LEU (Centrus Energy) is the only meaningful publicly traded US uranium enrichment company, making it the obvious public market beneficiary of this thesis.",REVIEW_STEVE,"Summary says GRACIAS said this, not Baker. If Baker did not make this argument, it should not be in Baker thesis scoring. Need to verify speaker.",YES,NO
3/29/25,AI capex ROI positive,4,AI agents are the key ROI unlock for AI infrastructure spend; compute will be the rate-limiting factor in agent adoption,"Baker argues that AI agents represent the critical ROI unlock for the current wave of AI infrastructure spending, and that if agents become widespread, the return on investment for AI compute — and Nvidia's Blackwell GPUs specifically — will be very high. His core reasoning is that agents are far more compute-intensive than traditional inference workloads, meaning demand for GPUs will dramatically exceed supply once agent adoption scales. However, he identifies compute scarcity as the binding near-to-medium-term constraint: there simply will not be enough compute deployed to support truly widespread agent usage for an extended period. He cites OpenAI's initial pricing of its agent products at $10,000–$20,000 per month as concrete evidence that compute scarcity is already being reflected in pricing, validating the infrastructure investment thesis. The investment implication is that Nvidia, as the dominant supplier of the compute that agents require, is the primary beneficiary of this structural dynamic.",NVDA,moderate,NVDA,BAKER_NAMED,LONG,CHANGE,Recluster: agents drive NVDA demand,"AMZN, MSFT, GOOGL, META",OBVIOUS_UNIVERSE,LONG,NVDA,BAKER_NAMED,LONG,"Baker explicitly identifies Nvidia as the primary beneficiary of compute scarcity driven by AI agent adoption, making it a clear bullish call on NVDA.",RESOLVED,"-> NVDA / BAKER_NAMED / LONG. Recluster to NVDA moat theme. Agents drive compute demand, NVDA is the named beneficiary via Blackwell.",YES,NO
7/8/26,AI world models for gaming,1,"AI world models will reduce AAA game development costs by ~90%, benefiting platform holders and harming game developers","Baker argues that AI world models will reduce the cost of developing AAA video games by approximately 90%, collapsing per-title budgets from the current $200-300M range and triggering a massive explosion in content supply. The core reasoning is that AI-generated world models will automate much of the labor-intensive asset creation, environment design, and testing that currently drives development costs, making it feasible for smaller teams to produce high-quality titles. This dynamic is structurally negative for incumbent AAA game studios, which will face intensified competition from a flood of lower-cost entrants, compressing margins and eroding pricing power. Conversely, Baker views video game platform holders as the primary beneficiaries, since content abundance increases the value proposition of their platforms and drives engagement and subscriber growth. No specific timeline was given, but the implication is a medium-term structural shift that favors platform economics over content creator economics.","MSFT, SONY, NTDOY, RBLX",moderate,"SONY, NTDOY",OBVIOUS_UNIVERSE,LONG,CHANGE,Platform holders win,"SONY, NTDOY",BAKER_NAMED,LONG,"MSFT, SONY, NTDOY, RBLX, EA, TTWO, UBSFY",OBVIOUS_UNIVERSE,PAIR_TRADE,"Bullish on named platform holders (MSFT, SONY, NTDOY, RBLX) as beneficiaries of content abundance, bearish on AAA game studios (EA, TTWO, UBSFY) as the obvious public universe of incumbent developers facing margin compression from AI-driven cost deflation.",RESOLVED,"-> SONY, NTDOY / OBVIOUS_UNIVERSE / LONG. Platform holders benefit. Not AI universe. We resolved this.",YES,NO
1/4/25,DRAM / HBM memory bottleneck,6,High bandwidth memory (HBM) producers are the best performing asset of 2025 due to persistent compute scarcity,"Baker argues that high bandwidth memory (HBM) producers represent his single best-performing asset pick for 2025, driven by a structural supply-demand imbalance that he expects to persist throughout the year. He contends that HBM constitutes a larger share of GPU cost-of-goods-sold than TSMC's wafer contribution, underscoring how critical and valuable this component has become in the AI compute stack. With only SK Hynix and Micron capable of producing HBM at scale — Samsung having struggled to qualify its product — the effective supply base is extremely narrow against surging demand from both training and inference workloads. Baker notes HBM has been sold out for two years and that the rise of test-time compute and inference scaling makes HBM even more critical going forward, reinforcing his view that pricing power and volume will remain favorable for qualified producers through at least 2025.",MU,high_conviction,"MU, 000660.KS",BAKER_NAMED,LONG,CHANGE,Named both,MU,OBVIOUS_UNIVERSE,LONG,"MU, 000660.KS",OBVIOUS_UNIVERSE,LONG,"Baker is clearly bullish on HBM producers as his best 2025 pick, and explicitly identifies SK Hynix and Micron as the only two qualified producers at scale.",RESOLVED,"-> MU, 000660.KS / BAKER_NAMED / LONG. He named both. Adding SK Hynix is correct.",YES,NO
5/28/25,DRAM / HBM memory bottleneck,7,"AI's shift from training to inference is driving rapid and accelerating growth in memory demand, particularly HBM.","Baker argues that the AI industry's structural shift from training-dominated workloads to inference (including reasoning models) is the primary driver of accelerating demand for high-bandwidth memory. His reasoning is that inference workloads — especially those involving large reasoning models — require substantially more memory bandwidth and capacity per unit of compute than training, meaning that as inference scales, memory demand grows disproportionately. This makes HBM the critical bottleneck and investment opportunity in the AI infrastructure stack. The investment implication is a long position in HBM producers, with SK Hynix (000660.KS) named explicitly as the core position in his Sohn Montreal pitch, and Micron (MU) as the only US-listed HBM producer that directly benefits from the same structural demand tailwind. Samsung (SSNLF) is the third major HBM producer but is OTC-listed and has faced HBM qualification challenges, making it a weaker implied beneficiary.","000660.KS, MU",high_conviction,"MU, 000660.KS",BAKER_NAMED,LONG,CHANGE,"Sohn pitch, named both",MU,OBVIOUS_UNIVERSE,LONG,"000660.KS, MU",BAKER_NAMED,LONG,Baker explicitly pitched SK Hynix as his core long position and identified Micron as a direct beneficiary of the same HBM demand tailwind.,RESOLVED,"-> MU, 000660.KS / BAKER_NAMED / LONG. He named both. This is the Sohn pitch.",YES,NO
5/28/26,DRAM / HBM memory bottleneck,13,"SK Hynix's dominant HBM position gives it extraordinary pricing power, with ~70% operating margins","Baker argues that SK Hynix has achieved an extraordinary and historically unprecedented competitive position as the dominant HBM supplier to Nvidia, giving it near-monopolistic pricing power in the most critical segment of the AI memory market. He cites specific evidence: Google and Microsoft have reportedly approached SK Hynix with $50-100 billion offers to lock in future HBM supply, yet SK Hynix is reportedly declining guaranteed supply deals in favor of simply raising prices — a posture only possible when demand vastly exceeds supply. Baker highlights SK Hynix's ~70% operating margins as validation of this thesis, describing such margins as essentially unheard of in the semiconductor industry, which historically operates at far thinner margins. The investment implication is that the HBM memory supply constraint is real and durable, and that SK Hynix is the primary beneficiary — though as a Korean-listed stock (000660.KS), US investors seeking exposure to this thesis must look to US-listed proxies such as Micron (MU), the only US-listed HBM producer with meaningful scale.","000660.KS, MU",high_conviction,"MU, 000660.KS",BAKER_NAMED,LONG,CHANGE,Named both,MU,OBVIOUS_UNIVERSE,LONG,"000660.KS, MU",BAKER_NAMED,LONG,"Baker is clearly bullish on SK Hynix's dominant HBM position with ~70% margins and extraordinary pricing power, and identifies MU as the US-listed proxy for this thesis.",RESOLVED,"-> MU, 000660.KS / BAKER_NAMED / LONG. He named both again. SK Hynix dominant, MU as US proxy.",YES,NO
