date,theme,event_type,confidence,mention_number,total_theme_mentions,source,summary,summary_extended,tickers_direct,resolved_basket,basket_source,basket_direction,basket_asterisk,override_note,is_derisk_signal,is_thesis_reversal,is_thesis_close,exclude_from_long_stats,ret_1m,ret_1q,ret_1y,ret_2y,smh_1m,smh_1q,smh_1y,smh_2y,excess_1m,excess_1q,excess_1y,excess_2y
2020-07-27,ASML / semcap equipment criticality,FIRST_MENTION_AND_HC,high_conviction,1,2,Koyfin Investing Wizards — AI tailwind for semiconductors,ASML is the single most critical company in the semiconductor supply chain; continued EUV progress is essential to sustaining Moore's Law and all downstream AI compute scaling,"Baker argues that ASML is the single most important company on the planet because its EUV lithography technology is the irreplaceable enabler of continued Moore's Law scaling — without it, semiconductor density improvements halt entirely. He contends that humanity requires another 5-7x turns of Moore's Law to unlock transformative breakthroughs in areas like healthcare and materials science, making ASML's continued EUV progress existential for technological advancement. As concrete evidence of ASML's leverage, Baker cites Intel's failure to adopt EUV early as the direct cause of Intel losing a 50-year semiconductor manufacturing leadership position, illustrating the catastrophic cost of being on the wrong side of ASML's technology roadmap. The investment implication is a high-conviction, long-term long in ASML as the single most critical chokepoint in the global semiconductor supply chain and, by extension, all AI compute scaling.",ASML,ASML,BAKER_NAMED,LONG,False,,,,,,-0.25,-0.84,96.62,45.4,5.12,10.92,53.26,41.8,-5.37,-11.76,43.36,3.6
2020-07-27,ASML / semcap equipment criticality,FIRST_MENTION_WITH_TICKERS,high_conviction,1,2,Koyfin Investing Wizards — AI tailwind for semiconductors,ASML is the single most critical company in the semiconductor supply chain; continued EUV progress is essential to sustaining Moore's Law and all downstream AI compute scaling,"Baker argues that ASML is the single most important company on the planet because its EUV lithography technology is the irreplaceable enabler of continued Moore's Law scaling — without it, semiconductor density improvements halt entirely. He contends that humanity requires another 5-7x turns of Moore's Law to unlock transformative breakthroughs in areas like healthcare and materials science, making ASML's continued EUV progress existential for technological advancement. As concrete evidence of ASML's leverage, Baker cites Intel's failure to adopt EUV early as the direct cause of Intel losing a 50-year semiconductor manufacturing leadership position, illustrating the catastrophic cost of being on the wrong side of ASML's technology roadmap. The investment implication is a high-conviction, long-term long in ASML as the single most critical chokepoint in the global semiconductor supply chain and, by extension, all AI compute scaling.",ASML,ASML,BAKER_NAMED,LONG,False,,,,,,-0.25,-0.84,96.62,45.4,5.12,10.92,53.26,41.8,-5.37,-11.76,43.36,3.6
2020-07-27,Broad AI bullish / early innings,FIRST_MENTION_AND_HC,high_conviction,1,9,Koyfin Investing Wizards — AI tailwind for semiconductors,"AI has dramatically higher semiconductor intensity than human-written software, driving a multi-decade structural demand uplift for the entire semiconductor industry","Baker argues that AI software has dramatically higher semiconductor intensity than human-written software — approximately 6x more memory consumption and significantly more compute, networking, and storage requirements per unit of workload. As AI progressively displaces human-written software over a 10-30 year horizon, he believes the semiconductor industry's share of global GDP should rise by 4-6x, representing one of the most important structural investment themes of the coming decades. The investment implication is broad and sector-wide: virtually every segment of the semiconductor supply chain — logic, memory, networking, capital equipment — stands to benefit from this secular demand uplift. Baker frames this not as a cyclical trade but as a foundational structural view underpinning all of his semiconductor investments, with the magnitude of uplift (4-6x semiconductor intensity) providing a quantitative anchor for long-duration positioning across the space.",,,NO_BASKET,,False,"Never-a-trade theme: macro commentary regardless of mention number, NO_BASKET for all mentions (operator 2026-07-16).",,,,,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,5.12,10.92,53.26,41.8,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2020-07-27,Broad AI bullish / early innings,FIRST_MENTION_WITH_TICKERS,high_conviction,1,9,Koyfin Investing Wizards — AI tailwind for semiconductors,"The semiconductor industry is entering a positive demand supercycle from AI intensity, following two prior negative demand shocks (smartphone replacing PC; cloud/virtualization increasing utilization), in a now highly consolidated market structure","Baker argues that the semiconductor industry is entering a structural, multi-decade positive demand supercycle driven by AI intensity, and that this cycle is uniquely powerful because it arrives into a market that has already absorbed two prior negative demand shocks. The first shock was smartphones displacing PCs, which reduced semiconductor dollar content per device; the second was cloud computing and virtualization, which increased utilization of existing infrastructure and suppressed incremental demand. Now that both headwinds have been fully absorbed, the AI-driven demand surge is hitting markets — spanning memory, CPUs, GPUs, FPGAs, networking, and equipment — that have consolidated into near-duopoly or monopoly structures with very high barriers to entry, meaning pricing power and margin expansion should accompany volume growth. Baker frames this as his single most exciting investment theme, implying broad long exposure across the consolidated semiconductor ecosystem rather than any single name.",XLNX,,NO_BASKET,,False,"Never-a-trade theme: macro commentary regardless of mention number, NO_BASKET for all mentions (operator 2026-07-16).",,,,,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,5.12,10.92,53.26,41.8,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2020-07-27,Intel recovery / foundry failure,THESIS_REVERSAL,high_conviction,2,3,Koyfin Investing Wizards — AI tailwind for semiconductors,Intel faces a structural competitive crisis having lost its 50-year manufacturing lead due to the EUV bet and process execution failures; recovery depends on 10nm server CPU execution in late 2020,"Baker argues that Intel has suffered a structural, potentially irreversible loss of its 50-year manufacturing leadership due to two compounding failures: its decision not to adopt ASML's EUV lithography tools and its over-targeting of transistor density at the 10nm node, which caused severe yield problems. Historically, Intel maintained a 9-18 month process node lead over all competitors — a massive embedded competitive moat — but TSMC has now surpassed it, with Intel's 10nm roughly equivalent to TSMC's 7nm in real-world performance. Baker frames the near-term binary test as whether Intel can successfully yield large server CPU dies on its 10nm process by end of 2020; failure would further cement AMD's data center CPU advantage and accelerate ARM-based competition in the server market. The investment implication is bearish on Intel and bullish on AMD as the primary x86 beneficiary of Intel's execution failures, with TSMC as the foundry winner capturing share Intel cannot manufacture itself. Baker uses Arnold Toynbee's framing — 'empires are hard won and easily lost' — to underscore that Intel's structural disadvantage may not be recoverable on a short timeline.","INTC, AMD, TSM",INTC,BAKER_NAMED,SHORT,False,v4 review (STEVE). Steve: short INTC,,,,,-0.39,2.1,-10.13,14.36,5.12,10.92,53.26,41.8,-5.51,-8.81,-63.39,-27.44
2020-07-27,Nvidia GPU moat / CUDA ecosystem,FIRST_MENTION_AND_HC,high_conviction,1,9,Koyfin Investing Wizards — AI tailwind for semiconductors,"Nvidia holds a durable leadership position in AI training GPUs, protected by CUDA software ecosystem and the historical pattern of digital processor market incumbents never being unseated","Baker argues that Nvidia holds a structurally durable leadership position in AI training GPUs, grounded in a historical observation that incumbents in digital processor markets have never been displaced — citing Intel in x86 CPUs, Qualcomm in basebands, and Nvidia in GPUs as examples of this pattern. The core moat, which Baker terms 'exorbitant privilege,' stems from the CUDA software ecosystem: as developers optimize code libraries for Nvidia's architecture, switching costs compound over time and make alternative architectures increasingly uncompetitive regardless of raw hardware performance. Baker notes that despite approximately $2.5B in cumulative VC-funded competition targeting Nvidia's AI training dominance, Nvidia itself spends roughly $2B per two-year architecture cycle, meaning challengers must match both the ecosystem depth and the relentless pace of architectural investment simultaneously. The investment implication is a high-conviction long on NVDA, with the structural view suggesting that competitive threats from startups or established players like AMD are unlikely to unseat Nvidia's position in AI training, consistent with the historical pattern Baker identifies.",NVDA,NVDA,BAKER_NAMED,LONG,False,,,,,,22.34,30.44,84.53,71.02,5.12,10.92,53.26,41.8,17.22,19.53,31.27,29.22
2020-07-27,Nvidia GPU moat / CUDA ecosystem,FIRST_MENTION_WITH_TICKERS,high_conviction,1,9,Koyfin Investing Wizards — AI tailwind for semiconductors,"Nvidia holds a durable leadership position in AI training GPUs, protected by CUDA software ecosystem and the historical pattern of digital processor market incumbents never being unseated","Baker argues that Nvidia holds a structurally durable leadership position in AI training GPUs, grounded in a historical observation that incumbents in digital processor markets have never been displaced — citing Intel in x86 CPUs, Qualcomm in basebands, and Nvidia in GPUs as examples of this pattern. The core moat, which Baker terms 'exorbitant privilege,' stems from the CUDA software ecosystem: as developers optimize code libraries for Nvidia's architecture, switching costs compound over time and make alternative architectures increasingly uncompetitive regardless of raw hardware performance. Baker notes that despite approximately $2.5B in cumulative VC-funded competition targeting Nvidia's AI training dominance, Nvidia itself spends roughly $2B per two-year architecture cycle, meaning challengers must match both the ecosystem depth and the relentless pace of architectural investment simultaneously. The investment implication is a high-conviction long on NVDA, with the structural view suggesting that competitive threats from startups or established players like AMD are unlikely to unseat Nvidia's position in AI training, consistent with the historical pattern Baker identifies.",NVDA,NVDA,BAKER_NAMED,LONG,False,,,,,,22.34,30.44,84.53,71.02,5.12,10.92,53.26,41.8,17.22,19.53,31.27,29.22
2020-11-15,Target / omnichannel retail,HC_HIGH_PROFILE_VENUE,high_conviction,2,3,Sohn Australia 2020 — Omnichannel / tech,Target is among the fastest-growing e-commerce companies in North America and is materially undervalued by consensus,"Baker pitches Target (TGT) as his Sohn Australia 2020 idea, arguing the market is materially undervaluing the company's e-commerce transformation. Target grew digital revenue 194% year-over-year in the July 2020 quarter, reaching a $15.6B annualized run-rate, and Baker draws an explicit parallel to Amazon's early S-curve growth trajectory as evidence that the acceleration is structural rather than pandemic-driven. Despite this growth profile, the stock traded at only 15x FY23 consensus earnings, which Baker argues reflects a consensus that is 'materially too low' because analysts are not properly crediting Target's omnichannel model — where physical stores function as fulfillment hubs — as a durable competitive advantage. The investment implication is a long position in TGT with a medium-term horizon, predicated on earnings estimates being revised significantly higher as the e-commerce flywheel compounds.",TGT,TGT,BAKER_NAMED,LONG,False,,,,,,4.37,16.77,64.16,-2.16,8.05,24.04,52.05,9.15,-3.68,-7.27,12.11,-11.31
2021-08-09,SPAC structural analysis,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,3,"CNBC Sharpe Angle — SPAC market structure, PIPE financing dynamics, retail investor trends",PIPE investors have gained structural negotiating leverage and are extracting preferential terms from SPAC sponsors,"Baker argues that PIPE investors have gained significant structural negotiating leverage in the SPAC ecosystem as of mid-2021, fundamentally shifting the power dynamic between sponsors, targets, and capital providers. As SPACs became increasingly reliant on PIPE financing to remain competitive with traditional IPOs and direct listings — particularly for larger deals — PIPE investors began using their indispensable role to extract preferential terms. Baker observes it is now increasingly common for PIPE investors to renegotiate the valuation that the SPAC sponsor had already agreed upon with the target company, effectively inserting a new pricing layer into the deal process. Additionally, structured equity instruments combining common and preferred shares are being deployed to bridge valuation gaps and get deals done — a phenomenon Baker notes he is witnessing for the first time in the SPAC context. The investment implication is cautionary: SPAC deal economics are becoming more complex and less favorable to retail investors and target companies, suggesting deteriorating quality in the SPAC pipeline and potential headwinds for the broader SPAC market structure.",,,NO_BASKET,MIXED,False,,,,,,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,0.51,10.77,-13.87,13.9,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2021-11-01,DISH / 5G bearish,FIRST_MENTION_AND_HC,high_conviction,1,2,"Graham & Doddsville (Columbia Business School) — Investor interview with Gavin Baker, CIO of Atreides Management (Issue 43, Fall 2021)",5G is not a meaningful enabler of new use cases and represents a cost treadmill for incumbents,"Baker argues that 5G is fundamentally different from prior generational wireless upgrades in that it enables no new 'killer application' — unlike 3G, which enabled the mobile internet and app ecosystems, and 4G, which enabled streaming services like Spotify and Netflix. He states flatly that '5G changes nothing at all,' characterizing it as a cost treadmill rather than a revenue opportunity: carriers must spend heavily on spectrum and infrastructure simply to maintain competitive position, not to unlock new monetizable use cases. At best, 5G marginally enables IoT deployments and allows mobile operators to compete at the margin with fixed-line broadband providers, neither of which represents a transformative revenue driver. The investment implication is structurally bearish on incumbent mobile operators, who face sustained elevated capex without a corresponding uplift in ARPU or addressable market, compressing long-term returns on invested capital.","T, VZ, TMUS","T, VZ, TMUS",OBVIOUS_UNIVERSE,SHORT,False,All mentions. He named the incumbents (T/VZ/TMUS) as 5G cost-treadmill victims -> SHORT.,,,,,8.76,1.63,-2.92,0.89,9.77,0.46,-30.79,7.34,-1.01,1.17,27.87,-6.46
2021-11-01,DISH / 5G bearish,FIRST_MENTION_WITH_TICKERS,high_conviction,1,2,"Graham & Doddsville (Columbia Business School) — Investor interview with Gavin Baker, CIO of Atreides Management (Issue 43, Fall 2021)",5G is not a meaningful enabler of new use cases and represents a cost treadmill for incumbents,"Baker argues that 5G is fundamentally different from prior generational wireless upgrades in that it enables no new 'killer application' — unlike 3G, which enabled the mobile internet and app ecosystems, and 4G, which enabled streaming services like Spotify and Netflix. He states flatly that '5G changes nothing at all,' characterizing it as a cost treadmill rather than a revenue opportunity: carriers must spend heavily on spectrum and infrastructure simply to maintain competitive position, not to unlock new monetizable use cases. At best, 5G marginally enables IoT deployments and allows mobile operators to compete at the margin with fixed-line broadband providers, neither of which represents a transformative revenue driver. The investment implication is structurally bearish on incumbent mobile operators, who face sustained elevated capex without a corresponding uplift in ARPU or addressable market, compressing long-term returns on invested capital.","T, VZ, TMUS","T, VZ, TMUS",OBVIOUS_UNIVERSE,SHORT,False,All mentions. He named the incumbents (T/VZ/TMUS) as 5G cost-treadmill victims -> SHORT.,,,,,8.76,1.63,-2.92,0.89,9.77,0.46,-30.79,7.34,-1.01,1.17,27.87,-6.46
2021-11-01,SpaceX ecosystem / Starship economics,FIRST_MENTION,moderate,1,13,"Graham & Doddsville (Columbia Business School) — Investor interview with Gavin Baker, CIO of Atreides Management (Issue 43, Fall 2021)",Starlink is a significant disruptor to leveraged telecom and broadband companies globally,"Baker argues that Starlink represents a major structural disruption to telecom and broadband companies globally, particularly those carrying significant leverage on their balance sheets. His thesis is that low-earth-orbit satellite broadband fundamentally undermines the competitive moat of fixed-line and rural broadband providers who have historically faced little competition, and that companies with high debt loads will be least able to respond or adapt. He developed this view during his crossover investing work in 2019-2020, citing publicly available information from SpaceX's Twitter presence and the SpaceX subreddit as sufficient to form the thesis. The investment implication is bearish on leveraged fixed-line, rural broadband, and legacy satellite broadband incumbents — companies like ViaSat and Hughes Network Systems parent EchoStar face direct service substitution, while heavily indebted wireline carriers face long-term subscriber erosion. Baker does not name specific short targets but frames this as a global, long-duration disruption thesis with the most acute risk concentrated in high-leverage operators.","VSAT, SATS, LUMN","VSAT, SATS, LUMN",BAKER_NAMED,SHORT,True,Nov-2021 Starlink-disruption thesis names VSAT/SATS/LUMN as victims. Only this SpaceX row; others keep retail proxy / NO_BASKET.,,,,,7.55,7.73,29.81,66.79,9.77,0.46,-30.79,7.34,-2.22,7.27,60.6,59.45
2021-11-01,SpaceX ecosystem / Starship economics,FIRST_MENTION_WITH_TICKERS,moderate,1,13,"Graham & Doddsville (Columbia Business School) — Investor interview with Gavin Baker, CIO of Atreides Management (Issue 43, Fall 2021)",Starlink is a significant disruptor to leveraged telecom and broadband companies globally,"Baker argues that Starlink represents a major structural disruption to telecom and broadband companies globally, particularly those carrying significant leverage on their balance sheets. His thesis is that low-earth-orbit satellite broadband fundamentally undermines the competitive moat of fixed-line and rural broadband providers who have historically faced little competition, and that companies with high debt loads will be least able to respond or adapt. He developed this view during his crossover investing work in 2019-2020, citing publicly available information from SpaceX's Twitter presence and the SpaceX subreddit as sufficient to form the thesis. The investment implication is bearish on leveraged fixed-line, rural broadband, and legacy satellite broadband incumbents — companies like ViaSat and Hughes Network Systems parent EchoStar face direct service substitution, while heavily indebted wireline carriers face long-term subscriber erosion. Baker does not name specific short targets but frames this as a global, long-duration disruption thesis with the most acute risk concentrated in high-leverage operators.","VSAT, SATS, LUMN","VSAT, SATS, LUMN",BAKER_NAMED,SHORT,True,Nov-2021 Starlink-disruption thesis names VSAT/SATS/LUMN as victims. Only this SpaceX row; others keep retail proxy / NO_BASKET.,,,,,7.55,7.73,29.81,66.79,9.77,0.46,-30.79,7.34,-2.22,7.27,60.6,59.45
