date,theme,mention_number,old_basket,old_source,old_direction,new_basket,new_source,new_direction,new_reasoning,changed,override_exists
2021-11-01,Target / omnichannel retail,3,TGT,BAKER_NAMED,LONG,"WMT, TGT, HD, LOW",BAKER_NAMED,LONG,"Baker makes a high-conviction argument that COVID permanently accelerated omni-channel retail and that investors should own best-in-breed retailers with non-mall, accessible store footprints, strong IT infrastructure, and the ability to dynamically price across fulfillment modes (BOPIS, ship-to-home, same-day delivery). The pipeline indicates WMT, TGT, HD, and LOW were directly named. These fit his criteria perfectly: all are non-mall retailers with strong omni-channel investments and stores along commute routes. COST was tagged as implied but does not fit the BOPIS/dynamic pricing thesis as cleanly, so I exclude it. The thesis has a clear directional trade implication — long these best-in-breed omni-channel retailers — making this a trade recommendation rather than mere structural commentary.",YES,NO
2021-11-30,AI bubble not happening,1,SMH,OBVIOUS_UNIVERSE,LONG,NO_BASKET,NONE,NONE,"Baker is making a broad structural and valuation argument that current large-cap tech and SaaS valuations are not bubble-like compared to the dot-com era. He cites general valuation ranges (20-25x earnings) and structural advantages of SaaS business models (dial-like growth-vs-margin tradeoff), but does not name any specific companies or tickers. 'Large-cap tech' and 'mid-cap SaaS' are extremely broad categories with dozens of possible public companies, making this too vague to resolve to a specific basket. This is market-level valuation commentary, not a trade recommendation.",YES,NO
2021-11-30,ASML / semcap equipment criticality,2,ASML,BAKER_NAMED,LONG,"ASML, LRCX, KLAC, AMAT",BAKER_NAMED,LONG,"Baker explicitly names ASML (sole EUV lithography supplier), Lam Research, KLA, and Applied Materials as occupying structurally irreplaceable positions in the global semiconductor equipment supply chain. He argues they have durable pricing power, non-replicable moats (proprietary yield recipes), and geopolitical insulation regardless of where fabs are built. This is high-conviction and clearly directional — he frames these four companies as long-term structural winners with no substitutes, which constitutes a trade recommendation even without explicit price targets. All four tickers were named directly by Baker.",YES,NO
2021-11-30,Broad AI bullish / early innings,3,SMH,OBVIOUS_UNIVERSE,LONG,NO_BASKET,NONE,NONE,"Baker is making a broad structural observation about AI scaling laws and data moats being the defining competitive advantage in technology. While he implies that large incumbent internet platforms with the most proprietary data are advantaged, he does not name any specific companies or tickers. The category of 'data-rich platform incumbents in the US and China' is extremely broad and could encompass many companies (GOOGL, META, AMZN, MSFT, BIDU, BABA, TCEHY, etc.). Without Baker narrowing to specific names, this is a market-level structural thesis rather than an actionable trade recommendation. The pipeline also tagged no tickers as named or implied.",YES,NO
2021-11-30,Crossover investing philosophy,1,,NO_BASKET,LONG,NO_BASKET,NONE,NONE,"This is a structural observation about the future of investment management and market structure — specifically that crossover investing will grow as a share of private unicorn market cap. Baker is not recommending any specific stock or set of stocks to buy or sell. There are no named or implied public equities that are direct beneficiaries of this thesis. It is commentary on how the investment management industry will evolve, not a trade recommendation.",YES,NO
2021-11-30,DISH / 5G bearish,2,"T, VZ, TMUS",OBVIOUS_UNIVERSE,SHORT,NO_BASKET,NONE,NONE,"Baker is making a broad structural observation that 5G is overhyped as a technology trend because it enables no new applications unlike 3G or 4G. While he implies skepticism toward 5G-themed investment theses, he does not name any specific companies or tickers to short. The category of '5G beneficiaries' is extremely broad (telecom operators, equipment makers, handset OEMs, semiconductor companies, etc.) and he does not narrow it to any actionable set. No tickers were directly named or clearly implied. The pipeline's DISH tag does not appear in the actual summary content. This is thematic commentary, not a specific trade recommendation.",YES,YES
2021-11-30,DRAM / HBM memory bottleneck,2,MU,OBVIOUS_UNIVERSE,LONG,NO_BASKET,NONE,NONE,"Baker is making a broad structural observation that 'the semiconductor intensity of the world is going to go up a lot' due to AI scaling laws. He explicitly frames this across the entire semiconductor ecosystem — compute, memory, and networking — without naming any specific companies or narrowing to a tradeable subset. The expanded summary confirms he 'does not name specific companies in this segment of the thesis.' This is a market-level/industry-level thesis about semiconductors as a share of the economy, not a specific trade recommendation. The category is far too broad (covering dozens of public semiconductor companies) to resolve to a basket without imputing tickers Baker did not name or imply.",YES,NO
2021-11-30,Metaverse / gaming as platform,4,"ATVI, EA, TTWO",BAKER_NAMED,LONG,NO_BASKET,NONE,NONE,"Baker describes the metaverse as a long-term structural trend over a 50-year horizon, explicitly acknowledges uncertainty about which companies will lead ('I'm not sure who is going to usher it in'), and names no specific tickers or companies. This is a broad thematic observation with no actionable trade recommendation.",YES,YES
2021-11-30,Private market structural shift,1,,NO_BASKET,LONG,NO_BASKET,NONE,NONE,"This is a structural observation about the evolution of the asset management industry — specifically that crossover investing will grow as a share of private unicorn market cap. Baker is not recommending buying or selling any specific stocks. There are no named tickers, no implied tickers, and the thesis is about market structure and fund strategy rather than any actionable trade in public equities.",YES,NO
2021-11-30,Scaling laws intact,1,SMH,OBVIOUS_UNIVERSE,LONG,NO_BASKET,NONE,NONE,"Baker is making a structural observation that AI scaling laws will increase the semiconductor intensity of the global economy, requiring more compute, memory, and networking. He explicitly does not name specific companies, and the category ('the entire semiconductor ecosystem') is far too broad to resolve to a specific set of tickers. This is a macro-level thematic observation about semiconductors as a share of GDP/capex, not a specific trade recommendation.",YES,NO
2021-11-30,SpaceX ecosystem / Starship economics,2,"RKLB, SPCE, RDW",RETAIL_PROXY,LONG,NO_BASKET,NONE,NONE,"Baker explicitly states SpaceX is the only investable space company but simultaneously acknowledges that both SpaceX and Starlink are private companies with no direct public equity expression. He names no public tickers and implies none. This is commentary on a private company's dominance and a long-term civilizational thesis about space, not an actionable trade recommendation for public markets.",YES,NO
2021-11-30,Tesla / EV / FSD,1,TSLA,BAKER_NAMED,LONG,NO_BASKET,NONE,SHORT,"Baker is clearly making a trade recommendation: EV SPACs are worthless and should be avoided or shorted. He expresses high conviction that these companies have no path to competing against Tesla, Chinese EV leaders, and legacy OEM incumbents, calling them 'not real companies.' However, he does not name any specific EV SPAC tickers. The EV SPAC universe in late 2021 was broad (NKLA, RIDE, FSR, GOEV, FFIE, LCID, QS, etc.) and Baker doesn't narrow it to specific names. Per the rules, a category with many possible names where Baker doesn't narrow it is too vague to resolve to a specific basket. Note that TSLA was tagged by the pipeline, but Tesla is not the trade here — it's cited as one of the competitive forces that makes EV SPACs unviable, not as a long recommendation itself. The actual thesis is a generic SHORT on EV SPACs as a category, which cannot be resolved to specific tickers.",YES,NO
2022-01-25,Metaverse / gaming as platform,5,"ATVI, EA, TTWO",BAKER_NAMED,LONG,"RBLX, MSFT, AAPL, GOOGL, SNE",BAKER_NAMED,LONG,"Baker explicitly names specific public companies as the real metaverse beneficiaries: Roblox (RBLX), Minecraft/Microsoft (MSFT), Apple (AAPL) for its forthcoming headset and mobile OS gatekeeping, Google (GOOGL) for mobile OS structural advantage, and Sony (SNE) for PlayStation VR. The expanded summary makes clear this is directional: 'favor gaming platforms with existing metaverse-like ecosystems and mobile OS gatekeepers over companies that are merely branding themselves as metaverse plays.' While the confidence is moderate and the thesis is long-term/thematic, Baker is naming specific companies investors should own, making this a trade recommendation. Fortnite/Epic Games is private and excluded. WoW (Activision Blizzard/ATVI) and Destiny (Bungie) were named as examples of existing metaverses but not as explicit investment targets — and Bungie was private/being acquired. The five tickers above are the ones Baker clearly identified as investable beneficiaries.",YES,YES
2022-03-25,AI bubble not happening,2,SMH,OBVIOUS_UNIVERSE,LONG,NO_BASKET,NONE,NONE,"Baker is making a broad market-level argument that the 2022 tech selloff is not analogous to the 2000 dot-com bubble, citing real revenues, real FCF, and no excess capacity. While he says 'high-quality tech and cloud companies with real cash flows should be bought,' he names no specific companies or tickers. The category is far too broad to resolve — it could encompass dozens of large-cap tech and cloud names. This is structural market commentary and a contrarian macro view on tech valuations, not a specific trade recommendation.",YES,NO
2022-03-25,Crossover investing philosophy,2,,NO_BASKET,LONG,NO_BASKET,NONE,NONE,"This is a structural observation about how crossover investors have compressed the lag between public and private market valuation adjustments. Baker is describing a market dynamic — not recommending any specific stock or set of stocks to buy or sell. The expanded summary itself confirms 'no specific public equity as a direct subject or beneficiary of this structural observation.' No tickers were named or implied. This is market-level commentary on private market stress, not a trade recommendation.",YES,NO
2022-03-25,Inflation macro framework,1,,NO_BASKET,MIXED,NO_BASKET,NONE,NONE,"This is a macroeconomic observation about inflation dynamics — specifically that supply chain-driven inflation is largely over. Baker does not name any specific stocks, sectors, or tradeable instruments as beneficiaries or victims. The expanded summary explicitly states he 'does not name specific equities as beneficiaries or victims of this dynamic in this segment.' This is structural macro commentary, not a trade recommendation.",YES,NO
2022-04-08,Inflation macro framework,2,,NO_BASKET,MIXED,NO_BASKET,NONE,NONE,"This is a macro-level observation about inflation being the dominant variable for markets in 2022. Baker does not name any specific stocks, sectors, or directional trades. He frames inflation trajectory as a gating factor for positioning but does not recommend buying or selling anything specific. This is structural macro commentary, not a trade recommendation.",YES,NO
2023-06-19,DRAM / HBM memory bottleneck,3,MU,OBVIOUS_UNIVERSE,LONG,NO_BASKET,NONE,NONE,"Baker is making a structural observation about AI capability trajectories and recursive self-improvement (hard takeoff). The expanded summary explicitly states 'The investment implication is not a specific buy or sell signal but rather a structural view.' No specific tickers or companies are named as beneficiaries or losers. The pipeline-implied tickers (MSFT, GOOGL, META) are generic large-cap AI plays not argued by Baker as specific trades. This is technology commentary about AI's potential acceleration curve, not a trade recommendation.",YES,NO
2023-06-19,Nvidia GPU moat / CUDA ecosystem,2,NVDA,BAKER_NAMED,LONG,NO_BASKET,NONE,NONE,"Baker is making a structural observation about Nvidia's competitive position: it has dominated for a decade, may begin losing some share, but the TAM is growing so absolute revenues likely still increase. This is explicitly characterized in the summary as 'a moderate-conviction structural observation rather than a bearish call.' He is not recommending buying or selling NVDA — the thesis is balanced and non-directional, noting both competitive risk (potential share loss) and a bullish offset (expanding market). He does not name specific share-takers or provide a clear actionable direction. This is industry commentary, not a trade recommendation.",YES,NO
2023-06-19,Optical networking / interconnect,1,"CIEN, COHR, LITE",BAKER_NAMED,LONG,NO_BASKET,NONE,NONE,"Baker is making a broad structural/philosophical observation about solar and battery storage technology solving climate change through compounding efficiency gains. The mention of Tesla is incidental — used as an example of battery efficiency compounding faster than the industry average, not as a stock recommendation. The expanded summary itself notes this is 'a macro orientation rather than an actionable single-name thesis.' There is no specific buy/sell recommendation, no named tickers as trade ideas, and no narrowly defined investable category. This is market/technology commentary, not a trade.",YES,NO
2023-06-19,SaaS existential disruption,1,"CRM, NOW, TEAM, SNOW, HUBS",OBVIOUS_UNIVERSE,SHORT,NO_BASKET,NONE,NONE,"Baker's thesis that FMaaS will replace SaaS is a macro-structural observation about industry architecture, analogous to the iPhone consolidating hardware devices. He does not name any specific SaaS companies to short, nor any specific FMaaS winners to go long. The expanded summary explicitly confirms 'Baker does not name specific winners or losers in this segment' and characterizes it as 'a macro-structural thesis about industry architecture rather than a call on any specific publicly traded company.' The SaaS universe is enormous (hundreds of public companies), making it impossible to resolve to a specific basket without Baker narrowing the field. This is industry-level commentary, not a trade recommendation.",YES,YES
2024-01-30,Edge AI as bear case for cloud,1,"AAPL, QCOM",CONSTRUCTED,MIXED,"LONG META, AAPL / SHORT GOOGL",BAKER_NAMED,PAIR_TRADE,"Baker explicitly names three companies—Meta, Apple, and Google—and frames a directional relative-value thesis among them. He argues Google's search moat is at risk from on-device AI enabling new entry points, while Meta and Apple are positioned as potential disruptors who could enter search. Although the thesis is framed conditionally ('whether Meta enters search'), the overall framing clearly positions Google as the vulnerable incumbent and Meta/Apple as potential beneficiaries, making this a relative performance call among named companies. All three tickers were explicitly named by Baker, so source is BAKER_NAMED. Direction is PAIR_TRADE since there are identifiable long candidates (META, AAPL as disruptors) and a short candidate (GOOGL as the disrupted incumbent).",YES,NO
2024-01-30,Optical networking / interconnect,2,"CIEN, COHR, LITE",BAKER_NAMED,LONG,"CIEN, COHR",BAKER_NAMED,LONG,"Baker explicitly names Ciena (CIEN) as a current portfolio holding and argues with high conviction that coherent optics must move inside the data center by 2025-2026, calling it an 'unimaginable change to the architecture of a data center.' This is a clear trade recommendation tied to a specific architectural shift. CIEN is directly named as a holding. Coherent Corp (COHR) is the other dominant publicly listed coherent optics pure-play (transceivers, optical components) and is a clear implied beneficiary of the exact thesis Baker describes — the category of 'coherent optics companies' has very few major public pure-plays, making COHR an obvious-universe addition. Direction is LONG given Baker's bullish framing of this as a transformational, near-inevitable shift benefiting coherent optics suppliers.",YES,NO
2024-01-30,Scaling laws intact,2,SMH,OBVIOUS_UNIVERSE,LONG,"GOOGL, MSFT",BAKER_NAMED,LONG,"Baker explicitly argues investors should own hyperscale incumbents that have compute, data, and distribution moats, as scaling laws structurally favor them. He specifically names Google, Microsoft/OpenAI, and xAI/Twitter as the winners. xAI/Twitter is private and not tradeable. The expanded summary specifically states 'Baker identifies Google, Microsoft/OpenAI, and xAI/Twitter as the hyperscale winners' — he does NOT appear to have named META or AMZN as winners in this specific frontier-model thesis, despite the pipeline tagging them. The short side (standalone frontier model companies like Anthropic, Cohere, etc.) is almost entirely private and not actionable. This is a high-conviction LONG trade on the two named public hyperscalers. I excluded META and AMZN because the summary's specific enumeration of winners does not include them, even though they are hyperscalers broadly.",YES,NO
2024-01-30,xAI competitive position,1,,NO_BASKET,LONG,NO_BASKET,NONE,NONE,"Baker is commenting on the competitive positioning of xAI/Grok and Twitter/X, both of which are private companies with no direct US-listed equity exposure. The expanded summary itself notes that Baker frames this as 'a passing observation about competitive moats in the LLM space rather than an actionable public-market thesis.' There is no public ticker named, implied, or reasonably inferable from this thesis. This is structural commentary on private companies, not a trade recommendation.",YES,NO
2024-02-23,Humanoid robotics / Tesla Optimus,1,TSLA,BAKER_NAMED,LONG,NO_BASKET,NONE,NONE,"Baker is making a structural macro observation about the deflationary impact of AI combined with humanoid robots on blue-collar labor markets. He does not name any specific companies, tickers, or even a narrow enough category to imply specific beneficiaries. The expanded summary explicitly states 'Baker does not name specific beneficiaries explicitly in this segment.' While the pipeline tagged TSLA as implied via the Optimus connection, Baker's argument is about a broad macro/technology trend (deflation from physical automation) rather than a directional trade recommendation on any specific stock. Multiple companies — many private (Figure AI, Boston Dynamics, Agility Robotics, etc.) — are developing humanoid robots, so this cannot be narrowed to a single obvious public expression. This is macro commentary, not a trade.",YES,NO
2024-02-23,Power / watts as binding constraint,2,"VST, CEG",BAKER_NAMED,LONG,NO_BASKET,NONE,NONE,"Baker is making a structural observation about the shifting bottleneck in AI infrastructure from GPUs to power availability. He does not name any specific companies or tickers, and the universe of potential beneficiaries ('companies providing power generation, transmission, or energy efficiency solutions for datacenters') is extremely broad — spanning utilities, independent power producers, grid equipment manufacturers, energy efficiency firms, etc. Without Baker narrowing the field to specific names or a small obvious set, this is a market-level thematic observation rather than an actionable trade recommendation.",YES,NO
2024-02-23,xAI competitive position,2,,NO_BASKET,LONG,NO_BASKET,NONE,NONE,"Baker's thesis is about xAI and X (formerly Twitter), both of which are privately held companies with no public ticker. The expanded summary itself notes 'there is no direct public equity play implied by this thesis.' This is commentary on the competitive positioning of private companies and the importance of proprietary data moats, not an actionable trade recommendation for public markets.",YES,NO
2024-07-01,AI networking (Ethernet/InfiniBand),1,ANET,BAKER_NAMED,LONG,"MU, WDC, STX, ANET",BAKER_NAMED,LONG,"Baker explicitly states GPU utilization is his 'number one metric' and that he has positioned both his public and private portfolios around companies solving the storage, memory, and networking bottlenecks that constrain it. This is a clear trade recommendation with high conviction. The pipeline tagged MU (memory), WDC and STX (storage), and ANET (networking) as directly named by Baker — these are the natural US-listed pure-play beneficiaries of each bottleneck category he describes. I exclude MRVL and NVDA (tagged as merely implied) because the rules say to use exactly the tickers Baker named and not add extras. NVDA is the GPU maker whose utilization is being constrained, not a bottleneck solver; MRVL is plausible but was not directly named per the pipeline's own classification.",YES,NO
2024-07-01,Broad AI bullish / early innings,4,SMH,OBVIOUS_UNIVERSE,LONG,NO_BASKET,NONE,NONE,"This is a structural observation about the AI cycle's stage (analogous to 1996 of the internet era), not a trade recommendation. Baker's core argument is precisely that application-layer winners are unknowable at this point, and he names no specific tickers or companies. While he implicitly suggests infrastructure-layer plays may be more defensible than application-layer bets, he does not name any specific infrastructure companies either. The thesis is about epistemic humility and cycle positioning, not about buying or selling specific stocks.",YES,NO
2024-07-01,Frontier model concentration,1,,NO_BASKET,LONG,"GOOGL, META, MSFT",BAKER_NAMED,LONG,"Baker explicitly names four foundation model winners: Google (GOOGL), Meta (META), xAI (private, no ticker), and OpenAI/Microsoft (MSFT). He argues all other foundation model companies will fail or be acquired at distressed valuations, citing Inflection AI's 1.1x preference sale as evidence. The investment implication is clear and directional: concentrate long exposure in these incumbents. Three of the four have public tickers. xAI is excluded as it is private. This is a high-conviction, explicitly named trade recommendation with a clear LONG direction.",YES,NO
2024-07-01,Optical networking / interconnect,3,"CIEN, COHR, LITE",BAKER_NAMED,LONG,"CIEN, COHR, LITE, INFN",OBVIOUS_UNIVERSE,LONG,"Baker argues coherent optical networking is a physics-driven, non-optional requirement for next-generation AI data centers, both for aggregating power from distributed sources and for intra-data-center communication at massive scale. He frames this as near-certain with no engineering alternative, making optical networking suppliers direct structural beneficiaries. While the expanded summary does not explicitly name individual companies, coherent optical networking is a narrow public-company universe with an obvious set of pure-play names: Ciena (CIEN), Coherent (COHR), Lumentum (LITE), and Infinera (INFN, still trading as of mid-2024). The pipeline tagged these as directly named but the summary text only refers to the category generically, so source is OBVIOUS_UNIVERSE. IIVI merged into COHR and FNSR was acquired by II-VI/Coherent years ago, so those are not separate valid tickers. This is clearly a high-conviction LONG trade thesis on optical interconnect suppliers as AI infrastructure beneficiaries.",YES,NO
2024-07-01,Power / watts as binding constraint,3,"VST, CEG",BAKER_NAMED,LONG,"CEG, VST",OBVIOUS_UNIVERSE,LONG,"Baker makes a high-conviction argument that power is the binding constraint on AI data center scaling and that only three gigawatt-scale nuclear-adjacent sites exist in the US, meaning the owners of those sites hold scarce, nearly irreplaceable assets. While he does not name specific companies, the universe of US-listed companies with large multi-reactor nuclear fleets is very small. Constellation Energy (CEG) is the dominant US nuclear operator with the largest fleet and has already signed data center power deals (e.g., Microsoft/Three Mile Island). Vistra (VST) is the next most relevant with meaningful nuclear capacity. These two are the clearest public expressions of Baker's thesis. I exclude NRG (divested most nuclear) and ETR (has nuclear but not typically associated with the 'clustered gigawatt-scale site' thesis Baker describes). The directional implication is clearly LONG — these are scarce asset owners benefiting from hyperscale AI demand. Source is OBVIOUS_UNIVERSE because Baker describes the category precisely enough that the beneficiary set is small and identifiable, even though he didn't name tickers.",YES,NO
2024-07-01,Scaling laws intact,3,SMH,OBVIOUS_UNIVERSE,LONG,NO_BASKET,NONE,NONE,"Baker's thesis that 'scaling laws remain intact' and 'compute is the key variable' is explicitly the type of market-level structural observation the rules say is NOT a trade recommendation. The schema examples specifically list 'scaling laws are intact' as a non-trade market-level opinion. While the pipeline infers beneficiaries (hyperscalers, GPU suppliers), the core thesis is a foundational structural principle about AI development, not a specific buy/sell recommendation. The tickers tagged by the pipeline appear to be inferred from the broad theme rather than explicitly named by Baker as trade targets in this context. 'AI infrastructure beneficiaries without specifics = NO_BASKET' also applies here.",YES,NO
2024-07-01,xAI competitive position,3,,NO_BASKET,LONG,NO_BASKET,NONE,NONE,"The core thesis is about xAI, a private company with no public ticker. Baker is arguing xAI is the most compelling private AI company. While he mentions META, GOOGL, and MSFT/OpenAI as the other viable foundation model players, he is not recommending buying or selling any of them — he's contextualizing xAI's competitive position relative to peers. Saying xAI is the 'most compelling' actually implies it's more attractive than the publicly traded alternatives, which is the opposite of a buy recommendation for those public names. This is commentary on a private company's competitive advantages, not an actionable public market trade.",YES,NO
2024-08-07,DRAM / HBM memory bottleneck,4,MU,OBVIOUS_UNIVERSE,LONG,MU,BAKER_NAMED,LONG,"Baker explicitly names Micron and SK Hynix as HBM winners, and Samsung as having 'lost its way.' This is a clear trade recommendation with named companies and high conviction. The primary US-listed actionable expression is MU (Micron), which Baker identifies as the structural beneficiary of the HBM bottleneck in AI compute. SK Hynix (KRX: 000660) is also named as a winner but is Korean-listed. Samsung is named as a loser but the thesis is framed primarily as a long on HBM winners rather than an explicit short on Samsung, so direction is LONG rather than PAIR_TRADE. Baker provides specific technical reasoning (4x wafer capacity requirement) to support a durable supply constraint thesis.",YES,NO
2024-08-07,Edge AI as bear case for cloud,2,"AAPL, QCOM",CONSTRUCTED,MIXED,MU,BAKER_NAMED,LONG,"Baker explicitly names Micron and draws a historical parallel to the 1996 memory supercycle when Micron was a 50-bagger. He identifies MU as the primary US-listed beneficiary of a potential smartphone memory demand shock driven by on-device AI. While he frames this as a low-probability tail scenario rather than a base case, the investment thesis is directionally clear: if the scenario materializes, MU is the trade. Apple and Google are named as demand catalysts, not as investment targets. SK Hynix and Samsung are Korean-listed peers but Baker's focus is on Micron as the US-listed pure-play. The speculative framing means this is a conditional trade idea rather than a high-conviction position, but it is still a specific, actionable recommendation tied to a named company.",YES,NO
2024-08-07,Frontier model concentration,2,,NO_BASKET,LONG,NO_BASKET,NONE,NONE,"This is a structural observation about the AI training chip ecosystem, not a trade recommendation. Baker states the factual claim that only three chip architectures (Nvidia GPUs, Cerebras, Google TPUs) have been used for frontier LLM training. The rules explicitly list 'only three chip architectures have been used for training' as an example of a structural observation that does NOT constitute a trade recommendation. While the observation has directional implications (bullish NVDA/GOOGL, bearish AMD/INTC), Baker is describing industry structure rather than recommending specific trades. Confidence is moderate, and the thesis is framed as an ecosystem analysis rather than a buy/sell call. Cerebras is also private, limiting actionability further.",YES,NO
